GEOGRAPHY,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
00601,94.6,0.8,0.0,0.0,0.0,99.5
00602,63.6,3.5,0.1,0.2,0.0,93.6
00603,77.5,3.3,0.0,0.8,0.0,95.9
00606,95.3,1.1,0.0,0.0,0.0,99.9
00610,74.0,2.9,0.0,0.1,0.0,99.3
00612,83.2,4.6,0.2,1.2,0.0,99.5
00616,91.2,2.3,0.2,0.0,0.0,99.5
00617,96.1,1.2,0.1,0.1,0.0,99.2
00622,95.7,1.3,0.0,0.0,0.0,98.4
00623,95.8,2.8,0.0,0.0,0.0,99.7
00624,88.0,2.9,0.2,0.0,0.0,99.0
00627,92.7,1.6,0.1,0.1,0.0,99.3
00631,90.9,0.0,0.0,0.0,0.0,96.7
00637,92.6,2.7,0.3,0.0,0.0,98.5
00638,96.6,0.9,0.0,0.0,0.0,99.8
00641,89.1,2.4,0.1,0.6,0.0,99.3
00646,71.8,14.8,0.0,0.1,0.0,97.5
00647,92.9,3.5,0.1,0.0,0.0,98.0
00650,96.0,1.3,0.0,0.2,0.0,99.7
00652,92.6,2.8,0.0,0.5,0.0,99.2
00653,90.3,3.2,0.2,0.0,0.0,99.3
00656,91.7,2.6,0.2,0.0,0.0,99.5
00659,94.5,1.0,0.0,0.3,0.0,99.1
00660,52.0,3.2,0.0,0.3,0.0,98.4
00662,66.1,5.6,0.8,0.0,0.0,99.2
00664,82.8,3.3,0.7,0.1,0.0,99.8
00667,94.8,2.2,0.1,0.0,0.0,99.6
00669,95.5,0.9,0.0,0.1,0.0,99.7
00670,96.5,1.8,0.2,0.0,0.0,99.2
00674,86.7,3.8,0.0,0.0,0.0,98.9
00676,83.4,1.8,0.0,0.0,0.1,99.2
00677,62.1,4.1,0.1,0.1,0.0,92.2
00678,74.3,3.6,0.3,0.1,0.0,99.6
00680,60.9,3.5,0.1,0.1,0.0,98.9
00682,51.6,4.3,0.0,0.2,0.0,98.6
00683,94.8,2.6,0.1,0.0,0.0,99.6
00685,91.6,1.5,0.0,0.1,0.0,99.1
00687,82.4,2.2,0.0,0.0,0.0,99.9
00688,90.8,2.5,0.1,0.2,0.0,98.7
00690,63.2,3.3,0.0,0.1,0.0,95.1
00692,78.8,9.8,0.1,0.0,0.0,98.4
00693,92.6,3.0,0.3,0.1,0.0,97.5
00694,93.0,0.0,0.0,0.0,0.0,100.0
00698,91.4,2.6,0.4,0.2,0.0,99.0
00703,80.7,3.2,0.0,0.0,0.0,99.6
00704,55.4,5.1,0.0,0.0,0.0,98.5
00705,81.1,7.3,0.1,0.1,0.0,99.7
00707,42.8,24.4,0.3,0.0,0.0,99.9
00714,48.7,24.0,0.0,0.0,0.0,99.7
00715,49.5,17.6,0.2,0.0,0.0,99.2
00716,68.9,6.0,0.0,0.2,0.0,99.3
00717,68.0,5.2,0.1,0.5,0.0,99.1
00718,69.6,3.7,0.0,0.9,0.0,99.1
00719,38.7,2.8,0.0,0.0,0.0,99.7
00720,77.0,3.2,0.0,0.0,0.0,99.7
00723,58.3,12.7,0.8,0.0,0.1,99.8
00725,73.9,7.6,0.2,0.5,0.0,99.2
00727,78.6,5.5,0.1,0.1,0.0,99.0
00728,82.5,3.5,0.2,0.0,0.0,99.3
00729,49.9,15.1,0.1,0.6,0.0,99.9
00730,70.9,6.4,0.0,0.1,0.0,99.3
00731,84.4,3.0,0.2,0.0,0.0,99.7
00735,63.1,5.0,0.0,1.0,0.0,99.5
00736,73.7,3.3,0.0,0.5,0.0,99.5
00738,60.0,9.0,0.1,0.5,0.0,99.4
00739,73.0,3.4,0.1,0.4,0.0,99.6
00740,49.5,7.2,0.0,0.0,0.0,100.0
00741,52.1,12.3,1.1,0.0,0.0,99.4
00745,53.0,12.9,0.1,0.2,0.0,99.5
00751,54.5,6.5,0.0,0.0,0.0,99.6
00754,78.1,4.8,0.0,0.2,0.0,99.3
00757,56.8,6.6,0.0,0.0,0.0,99.9
00765,47.3,12.0,0.7,0.1,0.0,96.7
00766,68.0,2.6,0.3,0.0,0.0,99.5
00767,65.8,9.1,0.2,0.1,0.0,99.6
00769,67.3,6.4,0.0,0.0,0.0,99.7
00771,66.2,4.7,0.3,0.3,0.0,99.8
00772,15.4,39.5,0.3,0.3,0.0,99.9
00773,54.5,9.6,0.2,0.7,0.0,98.0
00775,58.4,5.4,0.0,0.0,0.0,94.3
00777,83.5,3.9,0.0,0.0,0.0,99.3
00778,59.3,10.0,0.1,0.3,0.0,99.5
00780,68.4,3.0,0.0,0.0,0.0,99.8
00782,61.2,2.3,0.0,0.0,0.0,99.7
00783,39.9,0.7,0.0,0.0,0.0,99.6
00784,67.4,12.3,0.5,0.0,0.0,99.8
00786,95.2,0.0,0.0,0.0,0.0,100.0
00791,60.9,5.7,0.2,0.7,0.0,98.6
00794,36.9,2.8,0.1,0.0,0.0,99.7
00795,61.2,8.4,0.2,0.5,0.0,99.7
00901,67.1,15.2,0.3,0.3,0.0,96.1
00906,100.0,0.0,0.0,0.0,0.0,100.0
00907,72.0,14.4,0.6,0.3,0.0,95.1
00909,55.3,21.3,0.9,0.5,0.0,98.0
00911,70.8,15.1,0.1,0.0,0.0,93.2
00912,51.9,26.4,0.6,0.7,0.0,98.5
00913,58.1,28.5,0.1,0.0,0.0,97.6
00915,47.5,30.0,1.1,0.3,0.0,98.6
00917,66.4,13.5,1.7,0.4,0.0,98.8
00918,78.1,5.4,0.2,0.1,0.0,98.7
00920,66.5,20.6,1.4,0.1,0.0,98.5
00921,63.6,28.9,0.3,0.3,0.0,98.8
00923,59.4,18.7,0.2,2.3,0.0,97.8
00924,59.1,18.0,0.3,2.7,0.0,98.1
00925,50.2,17.4,0.4,7.2,0.0,96.2
00926,67.3,7.7,0.2,0.7,0.0,98.7
00927,85.2,8.2,0.0,0.1,0.0,97.9
00934,55.5,17.6,0.0,0.0,0.0,78.4
00936,54.7,11.3,0.0,5.0,0.0,96.9
00949,56.6,10.2,0.3,0.1,0.0,99.1
00950,-,-,-,-,-,-
00951,43.8,56.3,0.0,0.0,0.0,100.0
00952,23.5,10.3,0.0,0.0,0.0,99.0
00953,58.1,7.0,0.2,0.0,0.0,99.6
00956,62.0,8.0,0.6,0.2,0.0,99.7
00957,61.9,8.1,0.7,0.5,0.0,99.0
00959,61.9,7.8,1.2,0.2,0.0,98.2
00960,46.1,7.7,0.9,0.5,0.0,98.4
00961,55.2,7.7,0.7,0.6,0.0,98.3
00962,64.9,9.7,0.5,0.1,0.0,99.6
00965,59.8,12.8,0.6,0.1,0.0,99.0
00966,82.9,3.5,0.2,0.2,0.0,98.2
00968,93.8,1.8,0.0,0.0,0.0,97.1
00969,82.9,4.5,0.5,0.2,0.0,98.1
00971,68.0,6.0,0.2,0.0,0.0,99.4
00976,61.8,8.3,0.1,0.1,0.0,99.3
00979,79.0,10.7,0.8,2.4,0.0,94.2
00982,62.2,22.3,1.4,1.3,0.0,98.7
00983,59.3,20.8,2.4,1.0,0.0,98.7
00985,56.9,22.9,0.7,0.5,0.0,99.4
00987,60.9,17.7,1.9,0.4,0.0,99.0
01001,92.3,1.2,0.1,2.7,0.2,5.3
01002,80.7,4.5,0.4,10.8,0.0,7.6
01003,81.1,6.1,0.0,11.1,0.1,4.9
01005,97.7,0.3,0.1,1.9,0.0,1.5
01007,93.2,1.8,0.0,2.3,0.0,3.0
01008,98.9,0.0,0.0,0.9,0.0,1.0
01009,95.5,0.0,0.0,0.0,0.0,0.0
01010,100.0,0.0,0.0,0.0,0.0,0.3
01011,96.4,1.1,0.0,0.8,0.0,3.0
01012,99.3,0.0,0.0,0.0,0.0,1.6
01013,82.6,4.1,0.1,1.7,0.0,21.8
01020,88.7,2.4,0.1,1.4,0.0,11.4
01022,79.5,11.3,0.0,0.7,0.0,5.9
01026,97.3,0.9,0.4,0.0,0.0,1.6
01027,91.4,1.0,0.0,4.3,0.0,4.1
01028,93.8,3.5,0.0,1.6,0.0,2.3
01029,93.3,0.0,0.0,6.4,0.0,0.8
01030,94.4,2.3,1.3,1.2,0.0,3.9
01031,91.0,0.0,1.1,0.7,0.0,3.7
01032,97.9,0.0,0.0,1.1,0.0,0.7
01033,99.2,0.0,0.0,0.0,0.0,3.5
01034,97.9,0.2,0.8,0.3,0.0,0.6
01035,95.0,2.8,0.0,1.4,0.0,3.1
01036,97.8,0.6,0.0,0.0,0.0,0.4
01037,94.1,0.0,0.0,0.0,0.0,9.1
01038,98.6,0.3,0.0,0.0,0.0,0.0
01039,98.9,0.0,0.0,0.4,0.0,2.4
01040,82.3,4.2,0.3,0.9,0.0,48.3
01050,94.5,0.8,0.0,0.4,0.0,5.1
01053,88.0,5.2,0.0,2.0,0.0,6.2
01054,92.4,3.6,0.0,1.4,0.0,2.6
01056,95.1,1.3,0.1,0.5,0.1,4.1
01057,96.5,0.5,0.0,0.3,0.0,1.3
01060,82.3,4.4,0.3,9.0,0.1,7.9
01062,90.9,1.8,0.0,3.7,0.0,7.7
01063,73.9,8.7,0.0,11.6,0.0,6.2
01066,-,-,-,-,-,-
01068,99.5,0.0,0.1,0.0,0.0,0.9
01069,99.1,0.5,0.0,0.0,0.0,1.1
01070,94.0,1.0,0.3,2.2,0.0,0.5
01071,96.1,0.3,0.0,0.3,0.0,0.4
01072,92.1,1.0,0.3,1.0,0.0,3.5
01073,97.6,0.6,0.0,0.0,0.0,3.5
01074,100.0,0.0,0.0,0.0,0.0,0.0
01075,92.5,2.6,0.1,2.8,0.1,3.6
01077,95.8,0.1,0.0,1.8,0.0,2.8
01079,96.8,0.0,0.0,0.0,0.0,0.0
01080,95.3,1.5,0.0,0.4,0.0,4.0
01081,97.2,0.5,0.6,0.0,0.0,0.1
01082,98.1,0.1,0.2,0.1,0.2,2.4
01083,98.4,0.0,0.0,0.0,0.0,2.2
01084,100.0,0.0,0.0,0.0,0.0,1.9
01085,90.7,1.5,0.1,2.4,0.1,7.8
01086,92.8,5.8,0.0,1.0,0.0,1.6
01088,93.6,6.4,0.0,0.0,0.0,11.1
01089,86.4,3.9,0.8,4.1,0.0,8.4
01092,99.9,0.1,0.0,0.0,0.0,0.0
01093,98.9,0.0,0.0,0.0,0.0,0.0
01094,100.0,0.0,0.0,0.0,0.0,2.1
01095,95.7,1.7,0.0,1.5,0.0,2.7
01096,97.8,0.6,0.0,0.2,0.0,3.5
01097,100.0,0.0,0.0,0.0,0.0,0.0
01098,96.6,0.7,0.0,1.0,0.2,1.0
01103,57.5,15.2,0.4,2.3,0.0,61.9
01104,56.9,12.6,0.1,0.7,0.0,52.3
01105,30.8,22.3,0.9,0.0,0.0,64.5
01106,90.7,0.8,0.0,7.0,0.0,3.9
01107,45.0,12.4,1.1,0.6,0.0,77.2
01108,53.0,20.5,1.6,5.1,0.0,38.8
01109,32.6,39.4,0.2,1.3,0.0,35.8
01118,79.5,13.2,0.0,3.5,0.0,16.6
01119,64.3,24.5,1.1,1.4,0.0,23.9
01128,82.7,11.6,0.0,0.0,0.0,4.3
01129,69.9,17.2,0.0,4.3,0.0,14.6
01151,64.1,14.9,0.2,4.1,0.1,41.4
01199,-,-,-,-,-,-
01201,89.4,5.2,0.2,1.1,0.0,4.9
01220,97.4,0.5,0.3,0.0,0.0,1.9
01222,96.1,0.0,0.0,1.1,0.0,0.0
01223,96.2,0.3,0.1,1.7,0.0,0.9
01224,64.6,0.0,0.0,35.4,0.0,0.0
01225,99.2,0.6,0.0,0.0,0.0,0.6
01226,99.2,0.5,0.2,0.0,0.0,2.3
01229,100.0,0.0,0.0,0.0,0.0,0.0
01230,87.1,2.8,0.0,1.9,0.0,9.3
01235,96.9,0.8,0.6,0.4,0.0,0.2
01236,90.7,1.3,0.7,1.3,0.0,3.0
01237,99.4,0.3,0.0,0.2,0.0,0.1
01238,96.6,0.1,0.0,1.1,0.0,2.9
01240,94.7,0.9,0.2,2.8,0.0,2.8
01242,99.4,0.0,0.0,0.0,0.0,0.0
01243,92.8,0.0,7.2,0.0,0.0,0.0
01244,94.0,0.0,0.0,0.0,0.0,6.0
01245,95.5,1.7,0.0,0.0,0.0,3.4
01247,93.2,2.1,0.6,0.5,0.2,3.1
01253,98.0,0.5,0.0,0.0,0.0,2.8
01254,97.1,0.1,1.0,0.9,0.0,2.1
01255,91.1,0.0,0.2,3.8,0.0,0.8
01256,93.9,2.5,0.0,0.0,0.0,1.3
01257,95.2,0.5,0.0,3.3,0.0,1.1
01258,98.4,1.0,0.7,0.0,0.0,0.7
01259,92.7,0.7,0.0,2.0,0.0,0.0
01260,100.0,0.0,0.0,0.0,0.0,0.0
01262,89.1,2.4,0.0,3.7,0.0,4.6
01264,100.0,0.0,0.0,0.0,0.0,0.0
01266,95.5,2.7,0.0,0.0,0.0,1.4
01267,90.5,2.0,0.5,4.2,0.0,3.4
01270,98.3,0.0,0.0,0.0,0.0,0.9
01301,92.9,1.2,0.1,1.9,0.0,5.5
01330,95.4,0.3,0.0,0.3,0.0,0.3
01331,94.9,0.3,0.1,0.5,0.0,6.7
01337,96.9,0.3,0.0,1.3,0.0,3.8
01338,100.0,0.0,0.0,0.0,0.0,0.0
