CountyName,GrowthRate,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
Ada County,-3.125247839,-2.092511013,0,-66.66666667,-33.33333333,100,53.57142857
Ada County,-1.445094152,-1.492537313,38.0952381,36.36363636,0,0,21.73913043
Ada County,6.011046857,-0.105374078,0,-50,21.42857143,0,-7.608695652
Ada County,6.263823816,-1.569506726,-6.666666667,100,12.5,-66.66666667,-6.766917293
Ada County,6.280970691,2.404371585,-37.5,0,-29.62962963,0,-25.75757576
Ada County,6.517302131,-2.420242024,80,0,10.71428571,66.66666667,9.375
Ada County,6.522568574,-0.335946249,-19.23076923,0,7.692307692,-25,-11.26760563
Ada County,6.796741894,-0.426894344,-10,0,15.78947368,0,8.163265306
Ada County,6.811975801,0.903954802,18.18181818,-37.5,-18.75,-20,2.898550725
Ada County,6.892887443,-1.411509229,44.44444444,-25,16.12903226,0,0
Ada County,6.906805701,-0.52742616,-37.5,0,23.52941176,50,-9.411764706
Ada County,7.032373508,-0.112233446,17.64705882,-12.5,-9.090909091,100,6.71641791
Ada County,7.066934499,-0.558035714,6.25,0,-18.51851852,100,-0.740740741
Ada County,7.089195657,-0.76419214,42.85714286,14.28571429,-3.448275862,-25,18.51851852
Ada County,7.261985401,-1.286173633,0,33.33333333,40.90909091,0,5.660377358
Ada County,7.296083881,-1.033295063,-16.66666667,-26.66666667,-13.33333333,200,5.084745763
Ada County,7.318131533,1.693002257,-42.10526316,14.28571429,-14.70588235,-50,17.14285714
Ada County,7.369668755,-1.413043478,-36.36363636,100,-20,0,14.49275362
Ada County,7.375226643,-0.435729847,-40,100,-8,-100,-18.29268293
Ada County,7.381720341,0.224719101,-25,-42.85714286,20,-25,-6.993006993
Ada County,7.489014442,-0.111982083,-66.66666667,266.6666667,18.75,33.33333333,12.16216216
Ada County,7.725275532,-0.96670247,50,0,25,0,-5.494505495
Ada County,7.753079422,-0.225479143,22.22222222,0,3.225806452,0,-1.428571429
Ada County,7.759949274,-2.132435466,166.6666667,0,4.347826087,0,14.1025641
Ada County,7.876292739,0.338218715,-6.25,25,-15,-75,7.352941176
Ada County,8.033625359,-1.077586207,66.66666667,50,-3.846153846,0,-11.82795699
Ada County,8.137145277,-1.590668081,-40,100,23.80952381,-33.33333333,20.77922078
Ada County,8.233015556,0,-16,33.33333333,0,-33.33333333,2.702702703
Ada County,8.49344655,-2.898550725,5.882352941,15.38461538,7.142857143,0,4.424778761
Ada County,8.618550882,-2.076124567,5.555555556,0,-4.761904762,0,0
Ada County,8.894410194,-2.885682575,-27.27272727,50,41.37931034,400,7.317073171
Ada County,9.257861854,-0.432900433,-8.333333333,50,15.38461538,33.33333333,4.545454545
Ada County,9.357903268,-0.449438202,26.66666667,40,0,100,-4.109589041
Ada County,9.552323425,-0.897867565,-18.18181818,-20,17.64705882,0,-7.352941176
Ada County,9.821199422,-1.274623407,20,-25,-8,20,13.25301205
Ada County,10.76249979,2.514285714,-29.16666667,-7.142857143,-36.36363636,0,9.708737864
Ada County,10.91237775,-3.364269142,-23.07692308,27.27272727,0,0,8.396946565
Ada County,11.79346688,0.434782609,50,-75,-18.75,0,-10.81081081
Ada County,12.77894631,-2.813599062,9.523809524,-50,84.61538462,50,7.142857143
Ada County,15.02787982,-0.554938957,-5.882352941,-11.11111111,0,0,4.651162791
Ada County,17.43360432,-0.632244468,66.66666667,0,60,0,24.32432432
Ada County,18.33317584,-1.516793066,-20,50,15.78947368,0,4.347826087
Ada County,18.71217867,1.981351981,-17.24137931,-6.666666667,-24.13793103,0,-8.035714286
Ada County,18.93530288,-1.371428571,25,-33.33333333,21.95121951,0,-5.681818182
Ada County,19.48695853,-1.764057332,57.14285714,-16.66666667,41.66666667,-75,-13.92405063
Ada County,19.64665206,-1.044083527,40,27.27272727,0,33.33333333,-9.677419355
Ada County,20.84266262,-1.272534464,-40,-33.33333333,0,0,-1.086956522
Ada County,21.58227595,-2.584269663,19.04761905,-40,-3.571428571,0,17.46031746
Ada County,22.00135152,-2.516411379,0,-16.66666667,0,0,16.41791045
Ada County,22.63688585,-1.822323462,-7.142857143,37.5,3.703703704,0,5.64516129
Ada County,25.24093007,-0.377833753,-10,-12.5,-10,-20,6.349206349
Ada County,27.37862438,-1.189060642,-23.80952381,0,-21.21212121,-100,-7.142857143
Ada County,29.27668358,-0.558659218,16.66666667,-26.66666667,-22.22222222,50,-25.92592593
Ada County,32.1230426,-2.474690664,38.46153846,300,-12.5,0,1.162790698
Ada County,43.88401536,-0.540540541,14.28571429,0,-30.43478261,0,7.246376812
Ada County,1177.510284,0.112866817,-27.27272727,0,5.263157895,-50,19.29824561
Adams County,-3.969586911,-1.03926097,0,30,3.333333333,0,-2.43902439
Adams County,1.40976623,-3.882352941,-26.31578947,100,-6.060606061,0,6.779661017
Adams County,1.77124037,-5.868544601,3.571428571,-14.28571429,13.79310345,-100,8.955223881
Adams County,2.202924673,-5.414746544,19.04761905,0,-7.407407407,0,-2.769230769
Adams County,2.528976699,-8.53960396,0,5.555555556,6.896551724,-100,-0.729927007
Adams County,3.601578713,-3.882352941,14.28571429,25,12.5,0,-9.359605911
Adams County,3.726474439,-1.222493888,-13.63636364,-18.18181818,-14.70588235,-50,1.10701107
Adams County,4.077910719,-7.193396226,-14.28571429,-9.090909091,-1.408450704,0,20.71005917
Adams County,4.438332011,-7.490636704,-20.40816327,10,-12.5,100,4.307116105
Adams County,4.531692568,0.950118765,0,-45.45454545,-1.492537313,0,2.608695652
Adams County,4.930656726,-7.49682338,20,20,7.692307692,-50,-2.901023891
Adams County,5.194912563,0.570125428,18.75,50,-15.15151515,0,1.286173633
Adams County,5.312832807,-2.52293578,10.52631579,0,14.28571429,0,6.282722513
Adams County,5.37599334,-1.587301587,10.52631579,-16.66666667,-3.571428571,100,3.174603175
Adams County,5.446039598,-8.594657375,-6.25,-28.57142857,-13.33333333,400,-2.006688963
Adams County,7.197396368,-5.802968961,30.76923077,-9.090909091,28.57142857,-50,-1.615798923
Adams County,7.27667773,-4.066073698,0,10,11.42857143,0,7.843137255
Adams County,7.376350814,-3.412073491,13.33333333,-21.42857143,-13.1147541,100,1.520912548
Adams County,7.52539248,-1.496259352,-31.03448276,-16.66666667,-15.15151515,0,-5.821917808
Adams County,7.830999802,-7.449856734,-17.64705882,190,22.22222222,0,-1.277372263
Adams County,7.877374834,-10.06535948,29.16666667,0,-37.03703704,50,8.100558659
Adams County,8.797314614,-4.613466334,-11.11111111,38.46153846,3.846153846,100,0.561797753
Adams County,8.869824872,-8.526187576,20,40,-4,0,5.379746835
Adams County,8.924994437,-12.17861976,-42.10526316,0,22.58064516,0,2.941176471
Adams County,9.115142805,-4.895960832,-4.166666667,10,-11.11111111,0,17.39130435
Adams County,9.455142182,-4.900662252,91.66666667,-45.45454545,3.846153846,0,2.272727273
Adams County,9.567223648,-6.391478029,0,14.28571429,41.66666667,0,0.3003003
Adams County,9.932521263,-3.417721519,-10,60,25,0,-6.545454545
Adams County,10.65061114,-3.474903475,-13.04347826,27.27272727,-7.142857143,0,9.259259259
Adams County,10.68280734,-6.731946144,7.142857143,16.66666667,-1.612903226,0,4.365079365
Adams County,11.2948156,-9.065934066,-22.22222222,58.33333333,-21.42857143,20,-0.878734622
Adams County,11.35394757,-6.417736289,58.82352941,0,-16.12903226,-75,-1.111111111
Adams County,11.87070914,-9.090909091,36.36363636,5.263157895,5.263157895,0,1.964285714
Adams County,12.18993696,-4.081632653,-12.5,-16.66666667,8.695652174,0,3.99113082
Adams County,23.00889151,-0.915331808,6.25,42.85714286,15.38461538,0,-2.894736842
Adams County,24.48473387,-1.111111111,-2,0,60,0,2.692307692
Adams County,38.27409009,-2.181400689,7.692307692,16.66666667,9.433962264,-66.66666667,-4.285714286
Adams County,308.1427535,1.869158879,-26.92307692,-11.11111111,-16.94915254,0,7.303370787
Adams County,311.7974602,-1.015801354,6.666666667,0,3.125,0,8.362369338
Adams County,514.0365158,-2.07852194,55.55555556,-26.66666667,18.33333333,0,0
Adams County,1012.977717,2.644628099,16.66666667,27.5862069,-39.77272727,0,8.196721311
Adams County,1119.86826,0,0,-17.64705882,0,0,-2.764227642
Alachua County,1.788840528,-5.504587156,26.88172043,-33.33333333,4.04040404,0,9.523809524
Alachua County,3.713539305,-3.519061584,-9.722222222,-20,11.02362205,0,8.695652174
Alachua County,4.402271989,0.144092219,-1.298701299,0,10.41666667,-28.57142857,0.909090909
Alachua County,5.004603527,-0.728862974,-3.225806452,-25,20.40816327,-50,-7.575757576
Alachua County,5.020863199,-0.71942446,3.947368421,0,3.773584906,-60,1.801801802
Alachua County,5.485805165,0,-4.430379747,25,4.545454545,-50,0
Alachua County,5.741029258,-1.436781609,2.843601896,100,0,100,10.92436975
Alachua County,5.989154587,-2.958579882,7.035175879,-20,-26.98412698,-100,0.735294118
Alachua County,6.14084449,-2.73381295,0,25,12.5,0,6.25
Alachua County,6.250524665,2.055800294,-5.238095238,33.33333333,-5.084745763,0,4.918032787
Alachua County,6.528465536,-1.15942029,-4.635761589,0,10.43478261,0,1.769911504
Alachua County,7.009374146,0.693481276,-11.86440678,-50,-13.59223301,0,-5.434782609
Alachua County,10.23743543,-1.519756839,-2.307692308,0,-4.255319149,0,5.6
Alachua County,12.64784365,-7.62195122,3.755868545,-50,0,0,3.649635036
Alachua County,14.64579679,-2.33463035,-2.105263158,-50,12.90322581,100,-12.60504202
Alachua County,16.27691141,-2.469135802,3.937007874,-50,-5.925925926,0,4.545454545
Alachua County,16.47452856,-3.443526171,13.46153846,100,-10.11235955,0,4.597701149
Alachua County,16.9499585,3.795379538,-13.12217195,0,6.52173913,0,7.042253521
Alachua County,327.3308458,2.831594635,-20.58823529,100,0,0,4.273504274
Alachua County,347.5963767,-1.53256705,14.45783133,-60,-6.060606061,-50,-3.25203252
Alameda County,-7.584399022,-4.761904762,3.571428571,-25,2.259887006,-22.22222222,-20.25316456
Alameda County,-5.721741216,-4.371584699,-4.615384615,-12.5,2.448979592,16.66666667,-6.730769231
Alameda County,-4.467205816,-0.183150183,-14.20118343,0,10,0,-4.918032787
Alameda County,-3.402751441,-1.495726496,0.438596491,33.33333333,-1.680672269,-50,7.936507937
Alameda County,-3.257503737,3.6900369,-6.626506024,33.33333333,-9.090909091,0,10.62801932
Alameda County,-2.920132044,1.052631579,-6.25,-18.18181818,-0.384615385,-16.66666667,0
Alameda County,-2.794253198,-1.123595506,-0.425531915,0,3.125,-14.28571429,-5.555555556
Alameda County,-2.632839338,-1.798561151,-12.43523316,200,5.633802817,0,15.09433962
Alameda County,-1.983197099,0,-2.564102564,37.5,-4.411764706,20,1.492537313
Alameda County,-1.875797703,-3.619909502,5.970149254,33.33333333,7.051282051,0,-3.571428571
Alameda County,-1.830877788,0.223214286,4.444444444,125,-3.03030303,11.11111111,0.769230769
Alameda County,-1.559658265,-1.293103448,-13.95348837,0,3.992395437,-50,-1.554404145
Alameda County,-1.316415407,-2.06185567,-3.225806452,-25,3.821656051,-100,-3.225806452
Alameda County,-1.267363077,-2.5,1.282051282,14.28571429,1.212121212,-33.33333333,0
Alameda County,-0.679735902,-9.546539379,0,-16.66666667,6,25,0.925925926
Alameda County,-0.035660644,-2.643171806,8.064516129,-40,3.311258278,16.66666667,-24.32432432
Alameda County,-0.025903915,-6.872852234,-4.597701149,-18.18181818,0.276243094,-16.66666667,2.475247525
Alameda County,0.053154291,-4.035874439,-2.534562212,-25,3.658536585,20,7.359307359
Alameda County,0.361557087,-5.389221557,-2.43902439,0,6.273062731,0,-0.724637681
Alameda County,0.363491723,-11.2804878,8.823529412,0,5.020920502,-22.22222222,3.105590062
