RegionName,City,Metro,CountyName,GrowthRate2016,GrowthRate2017,GrowthRate2018,GrowthRate2019,GrowthRate2020,GrowthRate2021,GrowthRate2022
83646,Meridian,"Boise City, ID",Ada County,6.280970691,6.796741894,7.261985401,6.892887443,-3.125247839,32.1230426,8.618550882
83709,Boise,"Boise City, ID",Ada County,7.089195657,6.517302131,7.753079422,6.811975801,6.522568574,21.58227595,8.233015556
83642,Meridian,"Boise City, ID",Ada County,6.011046857,6.906805701,8.137145277,8.033625359,7.375226643,22.00135152,7.759949274
83704,Boise,"Boise City, ID",Ada County,15.02787982,7.066934499,7.032373508,7.381720341,6.263823816,22.63688585,10.91237775
83706,Boise,"Boise City, ID",Ada County,1177.510284,7.876292739,9.357903268,7.318131533,8.894410194,18.93530288,9.821199422
83634,Kuna,"Boise City, ID",Ada County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,29.27668358
83616,Eagle,"Boise City, ID",Ada County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,7.489014442
83713,Boise,"Boise City, ID",Ada County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,27.37862438
83705,Boise,"Boise City, ID",Ada County,-1.445094152,18.71217867,10.76249979,8.49344655,7.296083881,19.64665206,12.77894631
83714,Boise,"Boise City, ID",Ada County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,17.43360432,20.84266262,7.725275532
83702,Boise,"Boise City, ID",Ada County,#DIV/0!,43.88401536,11.79346688,9.257861854,7.369668755,19.48695853,9.552323425
83716,Boise,"Boise City, ID",Ada County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,25.24093007
83703,Boise,"Boise City, ID",Ada County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,18.33317584
83669,Star,"Boise City, ID",Ada County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
83712,Boise,"Boise City, ID",Ada County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
63501,Kirksville,"Kirksville, MO",Adair County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
80022,,"Denver-Aurora-Lakewood, CO",Adams County,#DIV/0!,#DIV/0!,#DIV/0!,24.48473387,4.438332011,7.197396368,7.830999802
80229,Thornton,"Denver-Aurora-Lakewood, CO",Adams County,#DIV/0!,#DIV/0!,#DIV/0!,3.726474439,2.528976699,8.924994437,11.87070914
80233,Thornton,"Denver-Aurora-Lakewood, CO",Adams County,#DIV/0!,311.7974602,5.194912563,5.37599334,2.202924673,8.869824872,9.567223648
80601,Brighton,"Denver-Aurora-Lakewood, CO",Adams County,#DIV/0!,#DIV/0!,23.00889151,-3.969586911,11.35394757,8.797314614,7.877374834
80221,Twin Lakes,"Denver-Aurora-Lakewood, CO",Adams County,#DIV/0!,#DIV/0!,#DIV/0!,1119.86826,5.446039598,4.930656726,11.2948156
80031,Westminster,"Denver-Aurora-Lakewood, CO",Adams County,#DIV/0!,#DIV/0!,#DIV/0!,4.531692568,1.40976623,10.68280734,7.376350814
80602,Thornton,"Denver-Aurora-Lakewood, CO",Adams County,#DIV/0!,#DIV/0!,#DIV/0!,514.0365158,4.077910719,7.27667773,9.455142182
80260,Federal Heights,"Denver-Aurora-Lakewood, CO",Adams County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
80241,Thornton,"Denver-Aurora-Lakewood, CO",Adams County,#DIV/0!,#DIV/0!,308.1427535,5.312832807,3.601578713,9.115142805,10.65061114
80234,Westminster,"Denver-Aurora-Lakewood, CO",Adams County,#DIV/0!,#DIV/0!,#DIV/0!,38.27409009,1.77124037,7.52539248,9.932521263
80030,Westminster,"Denver-Aurora-Lakewood, CO",Adams County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,12.18993696
80640,Commerce City,"Denver-Aurora-Lakewood, CO",Adams County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
17340,Littlestown,"Gettysburg, PA",Adams County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
80045,Aurora,"Denver-Aurora-Lakewood, CO",Adams County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1012.977717
29803,Aiken,"Augusta-Richmond County, GA-SC",Aiken County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
29841,North Augusta,"Augusta-Richmond County, GA-SC",Aiken County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
29801,Aiken,"Augusta-Richmond County, GA-SC",Aiken County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
29829,Graniteville,"Augusta-Richmond County, GA-SC",Aiken County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32608,Gainesville,"Gainesville, FL",Alachua County,4.402271989,5.020863199,5.485805165,6.528465536,3.713539305,10.23743543,16.27691141
32607,Gainesville,"Gainesville, FL",Alachua County,5.741029258,5.004603527,6.250524665,6.14084449,5.989154587,12.64784365,16.9499585
32605,Gainesville,"Gainesville, FL",Alachua County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,347.5963767,14.64579679
32606,Gainesville,"Gainesville, FL",Alachua County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.788840528,7.009374146,16.47452856
32601,Gainesville,"Gainesville, FL",Alachua County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,327.3308458
32609,Gainesville,"Gainesville, FL",Alachua County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32653,Gainesville,"Gainesville, FL",Alachua County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32641,Gainesville,"Gainesville, FL",Alachua County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32669,Newberry,"Gainesville, FL",Alachua County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32603,Gainesville,"Gainesville, FL",Alachua County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
27215,Burlington,"Burlington, NC",Alamance County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
