RegionName,City,Metro,CountyName,Year,GrowthRate
10011,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-20.93378215
10009,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-20.47230278
10128,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-19.61774858
33071,Coral Springs,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,2021,-17.84301795
79705,Midland,"Midland, TX",Midland County,2020,-17.61420969
94158,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2020,-16.79105742
33426,Boynton Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,2021,-16.30411787
79109,Amarillo,"Amarillo, TX",Randall County,2022,-14.60560077
10016,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-14.52656065
75072,McKinney,"Dallas-Fort Worth-Arlington, TX",Collin County,2021,-13.96807586
94556,Moraga,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,2022,-13.85707288
19124,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,2018,-13.79777604
29229,Columbia,"Columbia, SC",Richland County,2019,-13.60743174
94115,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2020,-13.09422323
10028,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-12.70459619
79707,Midland,"Midland, TX",Midland County,2021,-12.69454124
90278,Redondo Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2016,-12.49731278
50315,Des Moines,"Des Moines-West Des Moines, IA",Polk County,2022,-11.0237208
94103,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2020,-10.88883658
79605,Abilene,"Abilene, TX",Taylor County,2021,-10.69540527
77083,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,2021,-9.670243077
94108,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2021,-9.183557078
77057,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,2017,-8.942093124
67208,Wichita,"Wichita, KS",Sedgwick County,2022,-8.918931803
79912,El Paso,"El Paso, TX",El Paso County,2021,-8.712233995
6516,West Haven,"New Haven-Milford, CT",New Haven County,2021,-8.677640025
66503,Manhattan,"Manhattan, KS",Riley County,2019,-8.652677198
94102,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2020,-8.643889014
94105,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2020,-8.518331897
79707,Midland,"Midland, TX",Midland County,2020,-8.231931042
94103,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2021,-8.14832304
79705,Midland,"Midland, TX",Midland County,2021,-8.068752651
10004,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-8.058984669
94109,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2021,-8.039203819
94102,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2021,-8.035690184
60606,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2020,-7.996107604
94108,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2020,-7.653811862
60139,Glendale Heights,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2022,-7.628518809
94555,Fremont,"San Francisco-Oakland-Berkeley, CA",Alameda County,2020,-7.584399022
10001,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-7.568463526
31313,Hinesville,"Hinesville, GA",Liberty County,2016,-7.424194674
21202,Baltimore,"Baltimore-Columbia-Towson, MD",Baltimore City,2016,-7.397388147
94107,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2020,-7.373768853
10038,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-7.368814369
22003,Annandale,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax County,2018,-7.266083783
94110,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2021,-7.166659764
10018,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-7.104071227
99577,Eagle River,"Anchorage, AK",Anchorage Borough,2018,-7.04120939
94109,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2020,-7.014100954
94089,Sunnyvale,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2020,-6.987111931
75044,Garland,"Dallas-Fort Worth-Arlington, TX",Dallas County,2020,-6.833474979
10010,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2020,-6.746585071
71112,Bossier City,"Shreveport-Bossier City, LA",Bossier Parish,2018,-6.743278571
66503,Manhattan,"Manhattan, KS",Riley County,2020,-6.742706846
94107,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2021,-6.698801527
37064,Franklin,"Nashville-Davidson--Murfreesboro--Franklin, TN",Williamson County,2020,-6.676549699
70605,Lake Charles,"Lake Charles, LA",Calcasieu Parish,2022,-6.671183316
36330,Enterprise,"Enterprise, AL",Coffee County,2016,-6.60167438
38103,Memphis,"Memphis, TN-MS-AR",Shelby County,2020,-6.519427548
35235,Birmingham,"Birmingham-Hoover, AL",Jefferson County,2020,-6.411720499
97333,Corvallis,"Corvallis, OR",Benton County,2020,-6.399358622
20148,Ashburn,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Loudoun County,2019,-6.355538074
23704,Portsmouth,"Virginia Beach-Norfolk-Newport News, VA-NC",Portsmouth City,2018,-6.328332994
